#{"t_start": 1661999657.9746206, "env_id": null}
r,l,t
-1190.0,86,2.120297
-1335.0,91,2.144916
-1075.0,84,2.166969
-1125.0,86,2.196913
-1175.0,85,2.219465
-2120.0,85,2.703263
-2190.0,88,2.729335
-2045.0,82,2.753937
-2075.0,83,2.778376
-2110.0,85,2.803125
-1125.0,88,3.331155
-800.0,83,3.542532
-725.0,82,3.755738
-775.0,84,3.976347
-900.0,90,4.202604
0.0,84,4.413754
0.0,84,4.438253
0.0,85,4.462729
0.0,89,4.489321
0.0,85,4.51399
-735.0,90,5.216743
-890.0,83,5.430196
-950.0,83,5.646498
-825.0,87,5.871104
-810.0,82,6.103339
0.0,89,6.317719
0.0,89,6.343682
0.0,84,6.368009
0.0,91,6.394778
0.0,86,6.41998
-675.0,86,6.665154
-775.0,87,6.909117
-870.0,88,7.151504
-725.0,84,7.383006
-675.0,85,7.62308
0.0,84,7.843186
0.0,86,7.867982
0.0,83,7.891482
0.0,87,7.916942
0.0,88,7.941898
-600.0,89,8.225492
-875.0,91,8.488673
-600.0,86,8.760109
-655.0,91,9.033071
-750.0,90,9.302366
0.0,82,9.470723
0.0,81,9.494159
0.0,87,9.519021
0.0,88,9.543916
0.0,82,9.567528
-550.0,84,9.822739
-600.0,85,10.086771
-400.0,83,10.332334
-675.0,90,10.608911
-565.0,84,10.872426
0.0,89,11.11701
0.0,91,11.144037
0.0,90,11.169382
0.0,87,11.194296
0.0,87,11.219233
-450.0,91,11.51026
-500.0,90,11.796846
-525.0,90,12.077265
-475.0,84,12.345496
-280.0,92,12.655071
0.0,84,12.858812
0.0,87,12.884371
0.0,87,12.909797
0.0,92,12.936893
0.0,89,12.962413
-325.0,83,13.250782
-375.0,85,13.537352
-375.0,83,13.817821
-325.0,83,14.087973
-325.0,84,14.371683
0.0,89,14.659858
0.0,89,14.685259
0.0,83,14.709018
0.0,86,14.733969
0.0,90,14.759158
-175.0,84,15.046341
-300.0,91,15.357133
-275.0,82,15.646579
-150.0,89,15.959351
25.0,86,16.247247
0.0,83,16.516834
0.0,82,16.542893
0.0,83,16.568436
0.0,89,16.595355
0.0,85,16.620942
50.0,89,16.942096
-200.0,83,17.227705
-75.0,91,17.550755
0.0,82,17.842752
-25.0,83,18.131415
0.0,86,18.408313
0.0,89,18.434502
0.0,83,18.458469
0.0,86,18.483424
0.0,88,18.508594
0.0,84,18.804862
-50.0,90,19.127736
0.0,81,19.416996
0.0,87,19.721579
25.0,82,20.017107
0.0,82,20.318627
0.0,86,20.344567
0.0,84,20.369117
0.0,91,20.395893
0.0,82,20.419573
-25.0,89,20.755942
-50.0,88,21.089655
-25.0,86,21.405103
25.0,90,21.727762
-100.0,82,22.006881
0.0,89,22.259449
0.0,90,22.285174
0.0,83,22.309473
0.0,85,22.334527
0.0,84,22.359312
-100.0,84,22.672551
40.0,90,23.005616
0.0,87,23.318834
-25.0,86,23.617769
25.0,86,23.927516
0.0,82,24.189221
0.0,91,24.216298
0.0,82,24.241792
0.0,88,24.269
0.0,89,24.296483
-75.0,83,24.605225
-25.0,82,24.910779
75.0,84,25.209129
-25.0,89,25.529024
-25.0,84,25.836549
0.0,83,26.141327
0.0,89,26.167032
0.0,87,26.192996
0.0,91,26.220041
0.0,86,26.246314
-50.0,88,26.566786
-25.0,82,26.869308
25.0,83,27.168549
-25.0,90,27.486498
110.0,89,27.806845
50.0,89,28.081227
50.0,84,28.106397
-75.0,87,28.132425
-75.0,81,28.157162
50.0,82,28.181665
-25.0,83,28.485764
-635.0,86,28.796244
-25.0,89,29.111006
50.0,86,29.410647
0.0,92,29.735221
0.0,87,29.984552
0.0,87,30.01673
