time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
332,83.0,0.9369200000000002,4,0,3688,-963.75,,,,,
500,,0.9051900000000002,,,,,0.0,88.8,,,
764,85.25,0.8548400000000004,8,1,719,-931.875,,,65,0.0001,0.5155796408653259
1000,,0.81019,,,,,0.0,86.4,124,0.0001,0.17203165590763092
1167,84.83333333333333,0.7782699999999998,12,2,524,-894.1666666666666,,,166,0.0001,0.01769132912158966
1500,,0.71519,,,,,0.0,87.4,249,0.0001,0.006434882991015911
1590,85.625,0.6978999999999995,16,3,455,-876.875,,,272,0.0001,0.016909832134842873
1933,85.65,0.6327299999999998,20,4,433,-834.0,,,358,0.0001,0.015563733875751495
2000,,0.6201899999999998,,,,,0.0,87.2,374,0.0001,0.000656346557661891
2346,85.79166666666667,0.5542600000000004,24,5,406,-793.5416666666666,,,461,0.0001,0.003978940658271313
2500,,0.5251899999999998,,,,,0.0,87.4,499,0.0001,0.006332257762551308
2756,85.67857142857143,0.47635999999999956,28,7,385,-756.9642857142857,,,563,0.0001,0.005782418884336948
3000,,0.43018999999999974,,,,,0.0,84.6,624,0.0001,0.0036301598884165287
3172,85.96875,0.3973200000000007,32,8,370,-712.34375,,,667,0.0001,0.0003625281387940049
3500,,0.33518999999999965,,,,,0.0,83.0,749,0.0001,0.005613136105239391
3583,85.80555555555556,0.31922999999999946,36,9,359,-692.6388888888889,,,770,0.0001,0.002580306027084589
3930,85.9,0.2533000000000001,40,11,353,-652.125,,,857,0.0001,0.003644280368462205
4000,,0.24019000000000068,,,,,0.0,88.2,874,0.0001,0.2856072187423706
4330,85.5909090909091,0.1772999999999999,44,12,344,-612.5,,,957,0.0001,0.0006660469807684422
4500,,0.1451900000000006,,,,,0.0,84.6,999,0.0001,0.005655726417899132
4762,85.77083333333333,0.0952200000000002,48,14,335,-565.1041666666666,,,1065,0.0001,0.001370687154121697
5000,,0.05019000000000051,,,,,0.0,87.4,1124,0.0001,0.0006536573055200279
5176,85.82692307692308,0.05,52,15,328,-519.7115384615385,,,1168,0.0001,2.3217976093292236
5500,,0.05,,,,,0.0,87.0,1249,0.0001,0.00010025822120951489
5589,85.76785714285714,0.05,56,17,321,-484.82142857142856,,,1272,0.0001,2.217714786529541
5937,85.85,0.05,60,18,319,-449.1666666666667,,,1359,0.0001,0.002081986516714096
6000,,0.05,,,,,0.0,86.0,1374,0.0001,2.1364223957061768
6339,85.78125,0.05,64,20,314,-423.4375,,,1459,0.0001,0.0002976472023874521
6500,,0.05,,,,,0.0,85.2,1499,0.0001,4.644868749892339e-05
6767,85.88235294117646,0.05,68,21,310,-401.7647058823529,,,1566,0.0001,0.037669837474823
7000,,0.05,,,,,0.0,84.0,1624,0.0001,0.0012057344429194927
7174,85.98611111111111,0.05,72,23,307,-378.125,,,1668,0.0001,2.8866145610809326
