#{"t_start": 1661999852.086136, "env_id": null}
r,l,t
-1125.0,84,0.155668
-1315.0,91,0.178789
-825.0,88,0.200015
-1195.0,90,0.222296
-960.0,82,0.242523
0.0,92,0.285125
0.0,90,0.314725
0.0,88,0.34025
0.0,84,0.364134
0.0,84,0.388005
-925.0,81,0.764783
-995.0,86,0.982559
-1050.0,86,1.208181
-1000.0,92,1.451087
-725.0,82,1.660291
0.0,90,1.874279
0.0,81,1.897811
0.0,91,1.924156
0.0,87,1.949081
0.0,87,1.974109
-850.0,84,2.181785
-1000.0,90,2.424475
-575.0,85,2.649747
-825.0,87,2.898086
-920.0,84,3.119911
0.0,84,3.333697
0.0,83,3.35745
0.0,91,3.383855
0.0,81,3.407428
0.0,90,3.4326
-830.0,90,3.681099
-920.0,87,3.922148
-725.0,83,4.154021
-790.0,89,4.404892
-650.0,87,4.648555
0.0,83,4.853072
0.0,84,4.877192
0.0,85,4.901321
0.0,89,4.926802
0.0,86,4.951972
-600.0,82,5.199266
-600.0,88,5.465706
-650.0,82,5.702411
-600.0,89,5.983215
-800.0,87,6.250124
0.0,88,6.501444
0.0,88,6.526799
0.0,86,6.553372
0.0,89,6.579287
0.0,90,6.605221
-650.0,81,6.859821
-625.0,84,7.113856
-375.0,81,7.368192
-500.0,83,7.618589
-400.0,87,7.887003
0.0,86,8.176995
0.0,82,8.200918
0.0,90,8.226156
0.0,84,8.250445
0.0,82,8.274218
-520.0,84,8.539605
-540.0,86,8.822034
-325.0,83,9.093694
-305.0,85,9.357811
-250.0,85,9.637993
0.0,82,9.908546
0.0,82,9.932462
0.0,81,9.956383
0.0,90,9.982178
0.0,86,10.007358
-275.0,86,10.302506
-175.0,82,10.574042
-375.0,85,10.866812
-325.0,85,11.148918
-275.0,83,11.436086
0.0,84,11.722975
0.0,89,11.748481
0.0,82,11.77211
0.0,84,11.795861
0.0,91,11.822257
-275.0,86,12.121125
-280.0,90,12.425545
-200.0,88,12.72932
-200.0,91,13.044064
-300.0,85,13.327911
0.0,90,13.564354
0.0,82,13.588512
0.0,89,13.614223
0.0,85,13.638555
0.0,87,13.66408
-250.0,83,13.95338
-200.0,88,14.258238
50.0,82,14.544014
-50.0,82,14.828935
0.0,86,15.132563
0.0,86,15.427785
0.0,88,15.452975
0.0,90,15.47825
0.0,90,15.50351
0.0,89,15.528651
25.0,92,15.856367
0.0,83,16.155118
75.0,89,16.46958
-25.0,91,16.799137
0.0,90,17.122941
0.0,82,17.332906
0.0,88,17.358459
0.0,89,17.384065
0.0,88,17.409772
0.0,86,17.442762
-25.0,91,17.762251
50.0,82,18.056953
0.0,86,18.357306
-125.0,85,18.659268
0.0,83,18.959155
0.0,90,19.243536
0.0,82,19.267186
0.0,90,19.292483
0.0,89,19.318012
0.0,84,19.341912
-75.0,89,19.66872
-50.0,89,19.984156
-50.0,86,20.285249
-50.0,90,20.608751
15.0,85,20.908979
0.0,92,21.150956
0.0,82,21.175114
0.0,89,21.200214
0.0,84,21.223904
0.0,88,21.248865
-125.0,91,21.577857
50.0,87,21.88417
-75.0,86,22.183323
-25.0,85,22.496212
-80.0,85,22.790951
0.0,90,23.04443
0.0,88,23.069474
0.0,90,23.094418
0.0,90,23.119367
0.0,91,23.14538
-125.0,83,23.437962
-125.0,84,23.730436
0.0,90,24.065652
-125.0,85,24.35808
-50.0,90,24.671729
0.0,83,24.939704
0.0,87,24.96486
0.0,84,24.988709
0.0,85,25.012592
0.0,84,25.036423
0.0,85,25.347615
65.0,87,25.650766
0.0,88,25.964065
-50.0,88,26.27767
0.0,87,26.592859
0.0,85,26.847152
0.0,82,26.870882
0.0,91,26.897198
0.0,84,26.92081
0.0,90,26.945821
-25.0,88,27.261229
-50.0,88,27.574873
50.0,87,27.88745
-50.0,88,28.198867
25.0,88,28.511547
0.0,82,28.745902
0.0,83,28.769597
0.0,90,28.794806
0.0,88,28.819767
0.0,90,28.844991
-75.0,90,29.168562
-75.0,81,29.455478
125.0,89,29.76732
50.0,88,30.080663
0.0,82,30.378058
0.0,84,30.646623
0.0,89,30.672522
0.0,90,30.697922
0.0,89,30.723483
0.0,91,30.750505
25.0,82,31.055936
-25.0,83,31.352119
-100.0,89,31.66466
-50.0,84,31.963733
-175.0,85,32.260703
0.0,83,32.556791
0.0,85,32.581998
0.0,86,32.607186
0.0,89,32.632519
0.0,90,32.65802
-25.0,87,32.976404
50.0,91,33.306817
50.0,89,33.623832
25.0,83,33.929029
-25.0,86,34.23396
0.0,89,34.488927
0.0,89,34.514238
0.0,91,34.540574
0.0,82,34.564248
0.0,86,34.589204
-50.0,88,35.241559
-50.0,83,35.544981
-125.0,87,35.85847
-200.0,85,36.155985
-50.0,88,36.472185
0.0,89,36.743716
0.0,91,36.769673
0.0,86,36.798602
0.0,88,36.823252
0.0,81,36.846558
25.0,86,37.161474
50.0,85,37.465041
-50.0,88,37.779025
-150.0,90,38.109348
-50.0,89,38.426343
0.0,83,38.668509
0.0,87,38.693511
0.0,85,38.717111
0.0,89,38.742045
0.0,84,38.765682
0.0,89,39.096082
125.0,82,39.385769
50.0,90,39.711926
0.0,85,40.0141
50.0,86,40.312223
0.0,83,40.577546
0.0,83,40.601654
0.0,82,40.625641
0.0,85,40.649694
0.0,82,40.673236
0.0,87,40.989387
-75.0,82,41.277975
-25.0,85,41.582421
-50.0,88,41.896953
-100.0,82,42.184303
0.0,83,42.484755
0.0,85,42.509021
0.0,91,42.535459
0.0,88,42.560849
0.0,86,42.585866
25.0,85,42.896201
50.0,86,43.198045
-100.0,84,43.493394
0.0,82,43.787348
0.0,83,44.078462
0.0,83,44.388419
0.0,90,44.414328
0.0,83,44.438727
0.0,89,44.464375
0.0,90,44.490287
50.0,91,44.82218
-25.0,86,45.1367
-25.0,85,45.439761
-100.0,83,45.738633
-25.0,82,46.030418
0.0,89,46.312023
0.0,84,46.335655
0.0,82,46.359225
0.0,81,46.382573
0.0,89,46.407412
25.0,82,46.702416
-25.0,86,47.000637
0.0,84,47.302544
25.0,89,47.627962
0.0,89,47.948296
0.0,84,48.217396
0.0,81,48.240824
0.0,83,48.264334
0.0,85,48.287991
0.0,86,48.312639
50.0,81,48.606609
75.0,86,48.909293
-25.0,82,49.209197
15.0,83,49.499819
0.0,81,49.79642
-50.0,85,50.094365
0.0,90,50.121697
0.0,88,50.146901
0.0,87,50.171953
0.0,85,50.195848
0.0,90,50.221113
50.0,88,50.536894
-75.0,83,50.833446
-50.0,82,51.133095
-50.0,90,51.452433
30.0,86,51.767664
0.0,87,52.042359
0.0,88,52.067251
0.0,87,52.092062
0.0,81,52.115307
0.0,86,52.139949
50.0,87,52.455576
100.0,81,52.743611
-50.0,85,53.055874
50.0,81,53.345953
0.0,84,53.646953
0.0,87,53.961705
0.0,86,53.987068
0.0,86,54.01202
0.0,82,54.035964
0.0,82,54.059954
-50.0,86,54.378623
50.0,83,54.677405
25.0,91,54.993509
0.0,85,55.303955
-50.0,90,55.616077
0.0,90,55.870559
0.0,88,55.896415
0.0,87,55.921804
0.0,85,55.945666
0.0,87,55.970684
-25.0,87,56.281073
-175.0,89,56.596431
25.0,86,56.906916
0.0,81,57.193368
-50.0,90,57.512573
0.0,82,57.767221
0.0,82,57.790962
0.0,88,57.816185
0.0,91,57.842692
0.0,89,57.867799
100.0,86,58.176546
25.0,84,58.475292
0.0,85,58.779409
0.0,81,59.083276
0.0,90,59.411655
0.0,88,59.700775
0.0,85,59.724739
0.0,87,59.749829
0.0,86,59.774751
0.0,91,59.801493
-75.0,90,60.131117
-75.0,83,60.42997
150.0,85,60.730486
-75.0,86,61.033523
25.0,86,61.346303
0.0,83,61.612994
0.0,91,61.639298
0.0,86,61.664346
0.0,86,61.689745
0.0,83,61.713788
-25.0,83,62.013022
25.0,86,62.323224
0.0,81,62.609824
0.0,83,62.909774
-25.0,83,63.199772
0.0,81,63.500377
0.0,82,63.52812
0.0,87,63.553289
0.0,90,63.578361
0.0,86,63.603852
0.0,81,63.627504
-25.0,84,63.929411
-335.0,88,64.238848
125.0,85,64.550133
0.0,88,64.864715
50.0,88,65.183093
0.0,88,65.440492
0.0,85,65.464291
0.0,85,65.488183
0.0,90,65.513643
0.0,82,65.537153
-75.0,84,65.833132
0.0,82,66.132607
0.0,82,66.420183
-75.0,82,66.717757
-25.0,86,67.021345
0.0,88,67.355571
0.0,83,67.388645
0.0,87,67.413818
0.0,84,67.437691
0.0,84,67.461611
-25.0,85,67.779347
50.0,87,68.087358
-50.0,82,68.389222
-25.0,88,68.70784
0.0,88,69.020456
0.0,88,69.286881
0.0,81,69.31064
0.0,82,69.334308
0.0,89,69.359752
0.0,81,69.383644
-50.0,87,69.700113
-25.0,84,70.00015
-25.0,90,70.328919
0.0,88,70.643277
-40.0,87,70.939578
0.0,81,71.197006
0.0,90,71.222399
0.0,92,71.248943
0.0,84,71.272887
0.0,83,71.296678
-50.0,83,71.597753
-50.0,91,71.928055
50.0,84,72.224795
50.0,85,72.522438
50.0,85,72.825552
0.0,87,73.108877
0.0,90,73.13436
0.0,86,73.159433
0.0,91,73.18599
0.0,90,73.211217
25.0,84,73.866533
0.0,90,74.206408
25.0,89,74.531191
-50.0,81,74.830282
0.0,84,75.129406
0.0,86,75.410767
0.0,86,75.435973
175.0,83,75.459894
0.0,88,75.485233
175.0,84,75.509175
115.0,82,76.278192
-125.0,83,76.583694
-150.0,89,76.905903
25.0,89,77.222896
-50.0,88,77.536151
0.0,91,77.810904
0.0,85,77.834764
0.0,88,77.859694
0.0,88,77.884678
0.0,82,77.908176
-25.0,82,78.208642
-25.0,91,78.536823
-25.0,88,78.853409
-50.0,86,79.156105
-50.0,85,79.458105
0.0,88,79.726299
0.0,91,79.752819
0.0,89,79.778064
0.0,84,79.801895
0.0,86,79.826709
-50.0,85,80.132024
-50.0,82,80.415809
0.0,87,80.724083
-25.0,84,81.022144
-25.0,86,81.317454
0.0,86,81.608429
0.0,84,81.632097
0.0,92,81.658419
0.0,89,81.683542
0.0,82,81.706963
-25.0,85,82.010263
0.0,82,82.289919
0.0,84,82.589938
-50.0,82,82.885259
-150.0,88,83.189959
0.0,83,83.481115
0.0,90,83.506844
0.0,86,83.531948
0.0,87,83.556957
0.0,83,83.580656
50.0,89,83.899324
-75.0,85,84.197146
-25.0,87,84.505877
-75.0,81,84.788659
25.0,90,85.102648
0.0,88,85.36418
0.0,89,85.389527
0.0,86,85.414493
0.0,82,85.438008
0.0,85,85.462031
0.0,91,85.782111
50.0,84,86.082438
75.0,83,86.374063
-150.0,83,86.663069
25.0,82,86.946878
0.0,85,87.239634
175.0,87,87.26486
175.0,82,87.288536
0.0,91,87.315375
175.0,83,87.339127
200.0,83,88.073765
-50.0,87,88.390445
75.0,90,88.711136
-175.0,87,89.023637
0.0,89,89.33212
-200.0,83,89.581374
-190.0,85,89.605265
-75.0,85,89.629047
-200.0,85,89.652767
-200.0,85,89.676558
-375.0,85,89.978303
50.0,89,90.295351
-5.0,88,90.605788
70.0,82,90.888597
-150.0,90,91.203745
0.0,86,91.456737
175.0,89,91.481979
0.0,88,91.507077
175.0,83,91.530689
175.0,89,91.555889
-100.0,84,91.851479
-80.0,87,92.156127
-10.0,83,92.451601
25.0,86,92.74719
-25.0,87,93.054341
175.0,84,93.330966
175.0,88,93.356141
0.0,91,93.382523
0.0,81,93.405891
0.0,82,93.429433
50.0,87,93.738819
-95.0,86,94.044471
60.0,89,94.356075
75.0,84,94.648376
125.0,89,94.955971
0.0,86,95.204681
0.0,82,95.228483
0.0,86,95.253406
0.0,90,95.278721
175.0,88,95.303848
75.0,83,95.596309
80.0,84,95.888555
80.0,86,96.196807
125.0,86,96.493993
125.0,83,96.784484
85.0,84,97.075702
105.0,88,97.100964
85.0,89,97.126212
150.0,86,97.15137
