time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
353,88.25,0.9329300000000005,4,0,3778,-1115.0,,,,,
500,,0.9051900000000002,,,,,0.0,87.6,,,
753,86.0,0.8569300000000004,8,1,697,-1048.75,,,63,0.0001,0.6614230871200562
1000,,0.81019,,,,,0.0,87.2,124,0.0001,0.31397566199302673
1174,86.33333333333333,0.7769400000000005,12,2,511,-997.0833333333334,,,168,0.0001,0.040750082582235336
1500,,0.71519,,,,,0.0,85.8,249,0.0001,0.012120810337364674
1590,86.375,0.6978999999999995,16,3,447,-944.6875,,,272,0.0001,0.009274039417505264
1936,86.4,0.6321600000000003,20,4,428,-910.0,,,358,0.0001,0.0051801432855427265
2000,,0.6201899999999998,,,,,0.0,85.4,374,0.0001,0.2914130687713623
2341,86.20833333333333,0.5552100000000003,24,5,399,-860.4166666666666,,,460,0.0001,0.0048358808271586895
2500,,0.5251899999999998,,,,,0.0,88.2,499,0.0001,0.00023525659344159067
2746,85.78571428571429,0.47826000000000035,28,7,379,-825.0,,,561,0.0001,0.0010359766893088818
3000,,0.43018999999999974,,,,,0.0,84.8,624,0.0001,0.001835839357227087
3170,85.6875,0.39769999999999994,32,8,364,-783.125,,,667,0.0001,0.001722150482237339
3500,,0.33518999999999965,,,,,0.0,84.2,749,0.0001,0.0005465493304654956
3586,85.58333333333333,0.31866000000000005,36,10,352,-728.1944444444445,,,771,0.0001,0.0022683637216687202
3921,85.4,0.2550099999999996,40,11,346,-684.125,,,855,0.0001,0.0018945877673104405
4000,,0.24019000000000068,,,,,0.0,86.0,874,0.0001,0.01308595109730959
4355,85.70454545454545,0.17255000000000043,44,12,337,-643.6363636363636,,,963,0.0001,0.005704416893422604
4500,,0.1451900000000006,,,,,0.0,86.6,999,0.0001,0.0006713439943268895
4753,85.60416666666667,0.09692999999999974,48,14,329,-604.5833333333334,,,1063,0.0001,0.001964280614629388
5000,,0.05019000000000051,,,,,0.0,88.6,1124,0.0001,2.188760663557332e-05
5175,85.61538461538461,0.05,52,16,322,-558.5576923076923,,,1168,0.0001,0.015224249102175236
5500,,0.05,,,,,0.0,86.6,1249,0.0001,0.006539349444210529
5591,85.94642857142857,0.05,56,17,317,-518.2142857142857,,,1272,0.0001,0.029223324730992317
5927,85.81666666666666,0.05,60,18,314,-484.9166666666667,,,1356,0.0001,7.658164577151183e-06
6000,,0.05,,,,,0.0,87.0,1374,0.0001,0.11889784783124924
6354,85.984375,0.05,64,20,310,-458.125,,,1463,0.0001,1.6951689720153809
6500,,0.05,,,,,0.0,87.0,1499,0.0001,0.04046473652124405
6764,86.05882352941177,0.05,68,22,306,-433.1617647058824,,,1565,0.0001,7.283776540134568e-06
7000,,0.05,,,,,0.0,89.8,1624,0.0001,1.615146279335022
7167,85.95833333333333,0.05,72,23,303,-414.02777777777777,,,1666,0.0001,0.04686249792575836
7500,,0.05,,,,,0.0,84.6,1749,0.0001,3.100256890320452e-06
7585,86.03947368421052,0.05,76,25,300,-394.5394736842105,,,1771,0.0001,0.09846701472997665
7935,86.1125,0.05,80,26,299,-374.625,,,1858,0.0001,0.0009905127808451653
8000,,0.05,,,,,0.0,86.4,1874,0.0001,1.359302018499875e-06
8351,86.19047619047619,0.05,84,28,297,-357.67857142857144,,,1962,0.0001,8.158027640092769e-07
8500,,0.05,,,,,0.0,86.6,1999,0.0001,4.693435130320722e-06
8760,86.22727272727273,0.05,88,29,295,-341.42045454545456,,,2064,0.0001,0.014012342318892479
9000,,0.05,,,,,0.0,88.6,2124,0.0001,2.0437564849853516
9165,86.1195652173913,0.05,92,31,293,-326.0326086956522,,,2166,0.0001,0.00012466427870094776
9500,,0.05,,,,,0.0,86.6,2249,0.0001,3.0579466819763184
9587,86.125,0.05,96,32,291,-316.09375,,,2271,0.0001,3.1406002044677734
9936,86.17,0.05,100,34,291,-302.45,,,2358,0.0001,0.021788649260997772
10000,,0.05,,,,,0.0,87.4,2374,0.0001,0.07086235284805298
10343,86.07,0.05,104,36,287,-262.1,,,2460,0.0001,0.006193355657160282
10500,,0.05,,,,,0.0,87.0,2499,0.0001,0.21941520273685455
10759,86.19,0.05,108,37,285,-223.05,,,2564,0.0001,0.006262774113565683
11000,,0.05,,,,,0.0,85.6,2624,0.0001,0.043664269149303436
11171,86.21,0.05,112,39,284,-188.05,,,2667,0.0001,0.14822731912136078
11500,,0.05,,,,,0.0,83.0,2749,0.0001,0.11415695399045944
11587,86.23,0.05,116,40,283,-155.55,,,2771,0.0001,0.0020189741626381874
11924,86.14,0.05,120,42,283,-127.2,,,2855,0.0001,2.0402541160583496
12000,,0.05,,,,,0.0,86.6,2874,0.0001,0.0010403306223452091
12337,86.1,0.05,124,43,282,-102.95,,,2959,0.0001,0.0009919122094288468
12500,,0.05,,,,,0.0,87.0,2999,0.0001,0.039693720638751984
12762,86.22,0.05,128,45,281,-78.45,,,3065,0.0001,0.06671655923128128
13000,,0.05,,,,,0.0,85.0,3124,0.0001,0.009536560624837875
13168,86.15,0.05,132,46,280,-60.1,,,3166,0.0001,1.9285417795181274
13500,,0.05,,,,,0.0,83.8,3249,0.0001,0.04003259912133217
13581,86.19,0.05,136,48,280,-47.8,,,3270,0.0001,1.800368309020996
13913,86.16,0.05,140,49,280,-35.65,,,3353,0.0001,0.0005202189786359668
14000,,0.05,,,,,0.0,88.0,3374,0.0001,0.01272953674197197
14253,85.99,0.05,144,51,279,-27.35,,,3438,0.0001,0.0009917243150994182
14500,,0.05,,,,,0.0,85.8,3499,0.0001,0.0005604827310889959
